Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
April 30 2020,Richland,SC,Passenger,0,1,1,161,162,0.62
June 30 2023,Collier,FL,Passenger,1,0,1,17,18,5.56
December 31 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
January 31 2025,District of Columbia,DC,Passenger,4,1,5,145,150,3.33
November 30 2023,Medina,TX,Passenger,1,0,1,6,7,14.29
September 30 2023,Tarrant,TX,Passenger,2,0,2,138,140,1.43
June 30 2024,Solano,CA,Passenger,3,0,3,163,166,1.81
May 31 2025,Rockingham,NH,Passenger,5,0,5,17,22,22.73
June 30 2017,Dale,AL,Passenger,0,1,1,61,62,1.61
June 30 2018,Skamania,WA,Truck,0,0,0,3950,3950,0.00
October 31 2021,Coryell,TX,Passenger,1,0,1,105,106,0.94
March 31 2023,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
July 31 2020,Columbia,WA,Truck,0,0,0,1540,1540,0.00
December 31 2020,Snohomish,WA,Passenger,5027,1847,6874,537940,544814,1.26
September 30 2019,Contra Costa,CA,Passenger,2,2,4,357,361,1.11
October 31 2023,Sacramento,CA,Passenger,4,1,5,213,218,2.29
April 30 2021,Carson City,NV,Passenger,1,0,1,14,15,6.67
September 30 2018,Clallam,WA,Passenger,129,122,251,50146,50397,0.50
August 31 2022,Twin Falls,ID,Passenger,0,1,1,26,27,3.70
February 29 2020,St. Mary's,MD,Passenger,1,0,1,223,224,0.45
March 31 2023,Klickitat,WA,Passenger,131,60,191,15121,15312,1.25
April 30 2019,Asotin,WA,Passenger,12,8,20,12650,12670,0.16
November 30 2022,Monterey,CA,Passenger,1,2,3,149,152,1.97
February 28 2019,Eagle,CO,Passenger,1,0,1,5,6,16.67
December 31 2023,Hunt,TX,Passenger,1,0,1,4,5,20.00
November 30 2017,Latah,ID,Passenger,0,1,1,81,82,1.22
August 31 2024,Hardin,KY,Truck,1,0,1,21,22,4.55
June 30 2019,Randolph,NC,Passenger,1,0,1,6,7,14.29
March 31 2018,Whitman,WA,Passenger,18,23,41,22475,22516,0.18
August 31 2025,Suffolk,VA,Passenger,1,1,2,78,80,2.50
December 31 2024,Kane,IL,Passenger,1,1,2,9,11,18.18
December 31 2021,Brevard,FL,Passenger,0,1,1,93,94,1.06
November 30 2021,Kittitas,WA,Truck,0,0,0,14796,14796,0.00
November 30 2023,Grant,WA,Truck,14,0,14,28031,28045,0.05
August 31 2020,Santa Clara,CA,Passenger,12,2,14,325,339,4.13
February 28 2019,Sumter,FL,Passenger,0,1,1,10,11,9.09
August 31 2023,Contra Costa,CA,Passenger,4,2,6,186,192,3.12
May 31 2023,Orange,NC,Passenger,1,0,1,8,9,11.11
November 30 2023,Nassau,NY,Passenger,2,0,2,33,35,5.71
July 31 2025,Hardin,KY,Truck,1,0,1,19,20,5.00
September 30 2024,Pierce,WA,Truck,438,0,438,132633,133071,0.33
December 31 2020,Barnstable,MA,Passenger,1,0,1,29,30,3.33
May 31 2019,Snohomish,WA,Truck,1,0,1,121986,121987,0.00
May 31 2017,Norfolk,MA,Passenger,1,0,1,41,42,2.38
April 30 2024,Wilson,TX,Passenger,0,1,1,3,4,25.00
September 30 2025,Jefferson,WA,Truck,47,0,47,8821,8868,0.53
January 31 2024,Columbia,WA,Passenger,12,0,12,2409,2421,0.50
May 31 2019,Clark,WA,Passenger,1474,913,2387,313021,315408,0.76
September 30 2025,DeKalb,GA,Passenger,2,0,2,31,33,6.06
May 31 2023,Wahkiakum,WA,Truck,2,0,2,1772,1774,0.11
May 31 2022,Garfield,WA,Passenger,0,3,3,1320,1323,0.23
April 30 2018,Pacific,WA,Truck,0,0,0,7591,7591,0.00
November 30 2024,Rockdale,GA,Passenger,1,0,1,6,7,14.29
July 31 2023,Gwinnett,GA,Passenger,2,0,2,60,62,3.23
July 31 2022,Collier,FL,Passenger,1,0,1,18,19,5.26
August 31 2022,Chelan,WA,Truck,5,0,5,23027,23032,0.02
June 30 2018,Virginia Beach,VA,Passenger,2,1,3,692,695,0.43
July 31 2023,Ray,MO,Passenger,0,1,1,1,2,50.00
February 29 2020,Essex,MA,Passenger,1,0,1,30,31,3.23
July 31 2020,Pima,AZ,Passenger,3,1,4,397,401,1.00
July 31 2025,Duval,FL,Passenger,6,1,7,228,235,2.98
September 30 2021,Loudoun,VA,Passenger,1,0,1,75,76,1.32
July 31 2017,Albemarle,VA,Passenger,0,1,1,29,30,3.33
March 31 2022,Walla Walla,WA,Truck,0,0,0,14013,14013,0.00
June 30 2025,Kootenai,ID,Passenger,2,2,4,116,120,3.33
February 29 2020,Fort Bend,TX,Passenger,1,0,1,51,52,1.92
November 30 2018,Madison,ID,Passenger,1,0,1,36,37,2.70
June 30 2017,Whatcom,WA,Passenger,462,175,637,142987,143624,0.44
June 30 2022,Juneau,AK,Passenger,0,1,1,37,38,2.63
April 30 2024,King,WA,Passenger,76435,18695,95130,1309137,1404267,6.77
March 31 2025,Polk,FL,Passenger,1,0,1,37,38,2.63
February 28 2019,Okanogan,WA,Passenger,19,21,40,25953,25993,0.15
May 31 2024,Hamilton,OH,Passenger,3,0,3,40,43,6.98
August 31 2025,Orange,CA,Passenger,9,3,12,280,292,4.11
February 28 2023,Dallas,TX,Truck,1,0,1,14,15,6.67
April 30 2017,Cascade,MT,Passenger,0,1,1,70,71,1.41
April 30 2018,Duval,FL,Passenger,1,2,3,384,387,0.78
April 30 2018,Skamania,WA,Passenger,12,8,20,8700,8720,0.23
August 31 2019,Calvert,MD,Passenger,0,2,2,93,95,2.11
July 31 2017,Skamania,WA,Truck,0,0,0,3872,3872,0.00
October 31 2020,Howard,MD,Passenger,0,1,1,73,74,1.35
October 31 2020,Solano,CA,Passenger,1,0,1,216,217,0.46
August 31 2021,Island,WA,Passenger,646,317,963,62800,63763,1.51
October 31 2022,Isle of Wight,VA,Passenger,0,1,1,21,22,4.55
January 31 2018,Lincoln,WA,Passenger,2,6,8,7580,7588,0.11
November 30 2022,San Joaquin,CA,Passenger,1,0,1,121,122,0.82
July 31 2024,Dakota,MN,Passenger,1,1,2,12,14,14.29
September 30 2025,Bucks,PA,Passenger,1,1,2,11,13,15.38
April 30 2018,San Francisco,CA,Passenger,0,1,1,141,142,0.70
May 31 2018,Kitsap,WA,Truck,1,0,1,53081,53082,0.00
April 30 2021,Polk,FL,Passenger,1,0,1,76,77,1.30
November 30 2019,Orange,CA,Passenger,9,2,11,561,572,1.92
October 31 2025,Washtenaw,MI,Passenger,1,0,1,16,17,5.88
October 31 2024,Lexington,SC,Passenger,1,0,1,19,20,5.00
March 31 2021,Pima,AZ,Passenger,2,1,3,373,376,0.80
January 31 2024,Collin,TX,Passenger,6,0,6,72,78,7.69
July 31 2024,Pinellas,FL,Passenger,1,0,1,57,58,1.72
April 30 2022,Medina,TX,Passenger,1,0,1,8,9,11.11
February 28 2019,Williamson,TX,Passenger,0,1,1,179,180,0.56
June 30 2022,Ferry,WA,Truck,0,0,0,3570,3570,0.00
April 30 2024,Lincoln,OR,Passenger,2,0,2,31,33,6.06
March 31 2022,Douglas,CO,Passenger,1,1,2,94,96,2.08
March 31 2025,Sarasota,FL,Passenger,1,0,1,23,24,4.17
March 31 2017,Missoula,MT,Passenger,1,0,1,82,83,1.20
December 31 2024,Caddo,LA,Passenger,1,0,1,13,14,7.14
July 31 2017,Lincoln,WA,Truck,0,0,0,4444,4444,0.00
May 31 2023,Chelan,WA,Passenger,620,159,779,54137,54916,1.42
November 30 2017,Orange,FL,Passenger,1,1,2,156,158,1.27
May 31 2025,Worcester,MA,Passenger,1,0,1,17,18,5.56
July 31 2017,Virginia Beach,VA,Passenger,2,1,3,654,657,0.46
January 31 2024,St. Louis,MN,Passenger,0,1,1,4,5,20.00
December 31 2019,Asotin,WA,Passenger,14,9,23,12665,12688,0.18
June 30 2019,Alameda,CA,Passenger,3,2,5,324,329,1.52
December 31 2019,Island,WA,Passenger,374,254,628,63434,64062,0.98
January 31 2023,Spokane,WA,Passenger,1986,948,2934,322872,325806,0.90
June 30 2020,Lake,IL,Passenger,1,0,1,171,172,0.58
January 31 2023,Platte,MO,Passenger,1,1,2,22,24,8.33
March 31 2020,DuPage,IL,Passenger,4,0,4,69,73,5.48
July 31 2024,Henrico,VA,Passenger,3,2,5,18,23,21.74
July 31 2018,Washtenaw,MI,Passenger,1,0,1,41,42,2.38
October 31 2017,Fairfax,VA,Passenger,3,1,4,842,846,0.47
August 31 2024,Duval,FL,Passenger,5,1,6,263,269,2.23
October 31 2020,Loudoun,VA,Passenger,1,0,1,81,82,1.22
May 31 2024,St. Lawrence,NY,Passenger,1,1,2,5,7,28.57
December 31 2024,Cleveland,OK,Passenger,1,0,1,27,28,3.57
October 31 2024,Burlington,NJ,Passenger,0,2,2,72,74,2.70
March 31 2023,Washtenaw,MI,Passenger,0,2,2,37,39,5.13
February 28 2019,Larimer,CO,Passenger,1,0,1,65,66,1.52
June 30 2023,Salt Lake,UT,Passenger,3,1,4,168,172,2.33
September 30 2021,Franklin,WA,Passenger,138,100,238,62046,62284,0.38
July 31 2024,Benton,WA,Truck,47,0,47,42855,42902,0.11
June 30 2021,Middlesex,MA,Passenger,1,0,1,117,118,0.85
March 31 2019,Spokane,WA,Truck,1,0,1,93957,93958,0.00
April 30 2024,Calvert,MD,Passenger,1,2,3,79,82,3.66
May 31 2022,Lincoln,WA,Passenger,8,18,26,7668,7694,0.34
January 31 2022,Adams,WA,Passenger,17,14,31,13008,13039,0.24
February 28 2023,Galveston,TX,Passenger,1,1,2,23,25,8.00
April 30 2020,Calvert,MD,Passenger,0,2,2,95,97,2.06
July 31 2025,Oldham,KY,Passenger,0,1,1,2,3,33.33
June 30 2020,Botetourt,VA,Passenger,1,0,1,0,1,100.00
November 30 2021,Snohomish,WA,Passenger,6820,2230,9050,537439,546489,1.66
September 30 2019,Juneau,AK,Passenger,0,2,2,35,37,5.41
August 31 2025,Hoke,NC,Passenger,1,0,1,52,53,1.89
May 31 2020,Carson City,NV,Passenger,1,0,1,13,14,7.14
January 31 2022,Williamsburg,VA,Passenger,0,1,1,7,8,12.50
July 31 2023,Twin Falls,ID,Passenger,0,1,1,19,20,5.00
October 31 2025,Allegheny,PA,Passenger,3,0,3,32,35,8.57
August 31 2025,Charlottesville,VA,Passenger,0,1,1,5,6,16.67
July 31 2022,Orange,FL,Passenger,3,0,3,118,121,2.48
October 31 2024,Williamson,TX,Passenger,4,0,4,73,77,5.19
December 31 2021,Powhatan,VA,Passenger,1,0,1,1,2,50.00
August 31 2021,Portsmouth,VA,Passenger,0,1,1,78,79,1.27
March 31 2017,Benton,WA,Passenger,140,139,279,127883,128162,0.22
December 31 2020,Richland,SC,Passenger,0,1,1,150,151,0.66
December 31 2021,Ray,MO,Passenger,0,1,1,1,2,50.00
January 31 2024,Jefferson,KY,Passenger,0,1,1,44,45,2.22
February 28 2025,Manassas,VA,Passenger,1,0,1,6,7,14.29
June 30 2018,Marion,IN,Passenger,1,0,1,120,121,0.83
July 31 2024,Jefferson,NY,Passenger,3,2,5,172,177,2.82
April 30 2022,Rockdale,GA,Passenger,1,0,1,7,8,12.50
October 31 2025,Marin,CA,Passenger,0,2,2,31,33,6.06
September 30 2021,Lexington,SC,Passenger,1,0,1,30,31,3.23
January 31 2022,Sussex,NJ,Passenger,1,0,1,2,3,33.33
